antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_text,consequents_text,rule_type
['keyword:networks'],['keyword:network'],0.006700502537690327,0.008050603795284647,0.001225091881891142,0.1828358208955224,22.710820895522385,1.0,0.0011711487907308978,1.2138924117938983,0.9624168024077411,0.09057301293900184,0.17620376378974692,0.16750486696950032,['keyword:networks'],['keyword:network'],keyword_to_keyword
['keyword:network'],['keyword:networks'],0.008050603795284647,0.006700502537690327,0.001225091881891142,0.15217391304347824,22.710820895522385,1.0,0.0011711487907308978,1.1715840226478524,0.9637267080745341,0.09057301293900184,0.14645473080117793,0.16750486696950032,['keyword:network'],['keyword:networks'],keyword_to_keyword
['keyword:tevatron'],['cluster:0'],0.0014751106332974973,0.09963247243543266,0.0014751106332974973,1.0,10.036888331242158,1.0,0.0013281417137862707,inf,0.9016976313285592,0.01480552070263488,1.0,0.5074027603513175,['keyword:tevatron'],['cluster:0'],keyword_to_topic
['keyword:quarks'],['cluster:0'],0.0014501087581568618,0.09963247243543266,0.0014501087581568618,1.0,10.036888331242158,1.0,0.0013056308372814188,inf,0.9016750544580485,0.014554579673776663,1.0,0.5072772898368884,['keyword:quarks'],['cluster:0'],keyword_to_topic
['keyword:nucleon'],['cluster:0'],0.001375103132734955,0.09963247243543266,0.001375103132734955,1.0,10.036888331242158,1.0,0.0012380982077668625,inf,0.9016073306294126,0.013801756587202008,1.0,0.506900878293601,['keyword:nucleon'],['cluster:0'],keyword_to_topic
['keyword:hadron'],['cluster:0'],0.0013000975073130484,0.09963247243543266,0.0013000975073130484,1.0,10.036888331242158,1.0,0.0011705655782523064,inf,0.9015396169733384,0.01304893350062735,1.0,0.5065244667503137,['keyword:hadron'],['cluster:0'],keyword_to_topic
['keyword:standard_model'],['cluster:0'],0.0013000975073130484,0.09963247243543266,0.0013000975073130484,1.0,10.036888331242158,1.0,0.0011705655782523064,inf,0.9015396169733384,0.01304893350062735,1.0,0.5065244667503137,['keyword:standard_model'],['cluster:0'],keyword_to_topic
['keyword:lepton'],['cluster:0'],0.0012500937570317774,0.09963247243543266,0.0012500937570317774,1.0,10.036888331242158,1.0,0.0011255438252426025,inf,0.9014944801862469,0.012547051442910916,1.0,0.5062735257214555,['keyword:lepton'],['cluster:0'],keyword_to_topic
['keyword:electroweak'],['cluster:0'],0.0012000900067505062,0.09963247243543266,0.0012000900067505062,1.0,10.036888331242158,1.0,0.0010805220722328983,inf,0.9014493479185962,0.012045169385194478,1.0,0.5060225846925972,['keyword:electroweak'],['cluster:0'],keyword_to_topic
['keyword:mesons'],['cluster:0'],0.0010250768807660575,0.09963247243543266,0.0010250768807660575,1.0,10.036888331242158,1.0,0.000922945936698934,inf,0.9012914205626189,0.010288582183186951,1.0,0.5051442910915934,['keyword:mesons'],['cluster:0'],keyword_to_topic
