paper_id,cluster_id,umap_x,umap_y
0903.1808,4,5.5537467,-2.448126
0705.2016,4,5.245121,-1.5076858
0905.1379,4,4.8781314,-0.87816125
0911.0846,4,4.7098136,-1.6942302
0901.4563,1,3.3582208,5.6939235
0810.2730,4,4.391912,-0.51568925
0810.5231,4,5.568463,-1.9420439
1001.1848,3,3.5551293,4.3535786
0809.2186,4,4.3009305,-0.3128336
0812.0055,1,5.0230236,4.489419
0904.2697,4,3.6652174,5.4134026
0908.3638,4,4.5468116,-1.2645657
0811.3504,4,2.7491665,1.6297257
0902.2741,4,5.265127,-2.1593935
0905.3343,4,4.6925764,-1.1390313
1002.3666,4,5.3076415,-1.1324959
0811.3146,4,5.210258,-1.7171342
0910.2162,4,4.3192616,1.4407886
0905.0189,4,4.973786,-0.78247887
0908.1011,4,4.6933804,-1.5188884
0906.5260,4,3.9266088,-0.88083583
0810.4013,4,5.4244494,-1.8633791
1002.2000,4,4.6731606,4.421842
0810.1938,4,4.431064,-0.46735582
0707.2911,4,5.586852,0.27316433
0912.4452,4,4.415373,-0.49790034
0902.0897,1,1.6455652,7.479699
0904.0749,4,4.1153393,-0.33888263
0906.1765,4,3.578345,0.24152762
0904.2606,4,5.2250504,4.719073
0907.4429,4,5.5546675,-2.4993415
0902.0809,4,5.601734,-2.4522245
0801.4188,4,5.5665097,-1.9907143
0812.0846,4,4.63189,-1.0765225
0901.4268,4,4.9514775,-0.40229362
0905.3204,4,5.441454,-1.5952129
0902.3138,4,4.162053,-0.450087
0909.5030,3,5.2587614,-1.530477
0906.1037,4,5.467796,-1.048336
0902.3921,1,5.292143,5.1594887
0907.1346,4,4.3775535,-0.7980752
0905.0185,4,4.861029,-1.7772069
0909.0322,4,5.256492,-2.2667236
0812.4019,4,5.218494,-1.6169562
0808.1676,4,5.633599,-1.0097253
0710.1365,4,3.5481563,5.0969105
0910.1714,4,4.6088624,-1.2724371
0803.0366,4,5.4003305,-2.1885984
0906.2788,4,5.426885,-1.0470625
0911.5183,4,5.4341946,-2.3719285
0808.0100,3,3.3943212,4.3185115
0907.2175,4,5.313593,0.15598418
0907.3812,4,3.564901,4.3378596
0808.2295,2,5.2891946,4.868189
1001.1274,4,5.6041193,-0.14331299
0908.1759,1,1.5880759,7.534124
0812.0796,4,5.0499377,4.47061
0910.4374,4,5.543892,-1.738685
0908.4228,4,5.5344377,-0.9180228
0808.1332,4,5.381399,-1.982169
0903.1814,4,5.568057,-2.0981824
0910.0382,3,3.365135,3.7896895
0912.0661,2,5.0374837,4.8480406
0911.5025,4,4.946056,-0.6892657
0804.2758,4,5.5286884,-0.99213094
0912.2198,4,5.582154,-0.98249376
0909.0030,4,3.378606,5.425321
0903.2331,4,5.723348,-1.6222444
0911.0056,4,2.7111318,1.7565235
0912.3637,4,5.325815,-2.2247572
0902.4386,4,5.3462157,-1.8021579
0912.0423,4,5.4661074,-0.7089146
0904.4401,4,5.6414437,-1.8214799
0910.2030,4,5.37034,-1.0948843
0712.4047,4,3.5125322,3.4733593
1002.0622,3,4.131885,1.5059685
0911.1782,4,4.8166437,-1.3823811
0802.0930,4,4.833044,-1.2084447
0911.1754,4,5.4775085,-2.232119
0707.1039,4,4.787122,4.2663736
0912.4549,3,2.7669742,3.6753137
0811.3281,3,4.9293947,4.9799695
0708.1296,4,3.5976198,0.32476214
0908.2800,4,2.6081722,0.2257685
0704.0006,4,4.4151406,-0.3918328
0907.4339,4,5.0086546,4.476972
0907.4164,4,5.3694153,-1.6841166
1002.0242,3,5.1662984,4.7320113
0910.4914,1,2.6470633,7.990716
0907.0777,3,3.1769557,4.2895207
0909.1983,4,5.4970527,-2.3419533
0901.1245,4,5.6021414,-0.9735961
0910.4972,4,4.99862,-0.69284105
0908.0499,4,5.6494875,-0.8423266
0912.4780,4,5.1709485,-1.5883098
0904.4166,2,5.057918,4.8015532
0810.5296,4,5.7279835,-1.9896603
0806.3407,4,5.641291,-2.434795
0908.2792,4,4.0338373,-0.20313308
1002.3510,4,5.0843873,-2.1708221
0704.1243,4,5.595047,-1.7988546
0902.3043,4,4.999943,-1.7482923
0706.3323,4,3.3107574,6.069451
0711.0573,3,2.9686408,4.732375
0902.3957,4,5.550775,-2.4989347
0705.4371,1,5.245075,5.202541
0908.0777,4,5.596206,-0.1784819
0806.3137,4,5.501626,-2.204814
1002.2879,4,5.618698,-0.16562356
0712.1729,4,8.399125,2.650609
0812.0740,4,4.850303,4.659967
0901.2918,4,4.757713,-1.8097407
0812.1921,4,4.7113323,-1.2845619
1002.1228,4,5.6943913,-2.0052736
0710.1159,4,5.1930532,-1.7183723
0912.2768,4,4.219038,4.74909
0705.0823,4,4.8611584,4.654109
0911.5712,4,5.702702,-0.921835
0704.3830,4,5.125865,-2.192223
0909.5161,4,2.4803526,1.5779002
0909.4149,4,5.5245385,-1.544121
1001.4290,4,5.16383,-1.4879568
0809.1996,4,5.6066318,-0.95381755
0704.2614,4,5.2124,-0.57765085
0907.3580,4,5.7666206,-0.8846684
0909.3807,4,5.656806,-1.5298629
0810.3047,4,5.5366817,-2.3765588
0712.0264,4,5.161895,-0.7282708
1002.3796,4,5.4164224,4.9145927
1002.4117,4,5.7036414,-0.80289507
0812.5070,4,4.605462,0.16568914
0910.3972,4,4.6999183,4.2911015
0907.3792,4,4.6663327,-1.7346342
0902.2698,4,3.8577497,4.891118
0905.1232,4,5.2234416,-1.9400814
0912.4450,1,1.6055671,7.5174117
0912.2092,4,5.187866,-2.0546684
0907.1202,4,4.6112475,-1.4893914
0902.1164,4,5.470675,-0.054027308
0904.0388,4,5.4527626,-2.3965185
0709.0321,4,3.3268936,5.5900173
0912.4358,4,4.779484,-1.3078605
0907.0925,3,3.140541,4.221355
0802.2768,4,4.7969875,-0.91140294
0901.3634,2,5.189032,4.7294674
1001.2151,4,4.9769325,4.141947
0706.1653,3,1.6972011,7.186969
0704.2138,3,4.6962867,4.4527135
0909.4324,4,4.987874,4.5791993
0709.1125,4,5.7676725,-1.872868
0903.3122,4,3.712622,4.352338
0905.0536,4,4.961153,4.629867
0907.4434,4,5.027523,-1.327489
1001.0703,4,4.7980623,-1.8516765
